,temperature,dewpoint,windSpeed,windDir,hght,longitude,latitude,distance,ob_time,pressure,datetime
1886,,,,,1388.5413,-87.87046,42.775986,150454.0172493694,2021-06-20 23:00:00,857.41986,2021-06-20 23:00:00
1887,,,,,1923.6427,-87.85497,42.67997,135808.55817662674,2021-06-20 23:01:00,802.73413,2021-06-20 23:00:00
1888,,,,,2458.744,-87.83953,42.58395,121186.95028832028,2021-06-20 23:02:00,750.9076,2021-06-20 23:00:00
1889,,,,,2993.8452,-87.824135,42.48793,106590.27847599376,2021-06-20 23:03:00,701.8243,2021-06-20 23:00:00
1890,,,,,3528.9465,-87.808784,42.391907,92018.86779885805,2021-06-20 23:04:00,655.37213,2021-06-20 23:00:00
1891,,,,,4064.0479,-87.79349,42.29588,77474.42487983756,2021-06-20 23:05:00,611.4415,2021-06-20 23:00:00
1892,,,,,4599.149,-87.77823,42.199852,62960.675356340544,2021-06-20 23:06:00,569.92645,2021-06-20 23:00:00
1893,,,,,5134.2505,-87.76302,42.103825,48484.9904884557,2021-06-20 23:07:00,530.7238,2021-06-20 23:00:00
1894,,,,,5669.3516,-87.74786,42.007793,34066.4960594863,2021-06-20 23:08:00,493.73407,2021-06-20 23:00:00
1895,,,,,6204.4526,-87.73274,41.91176,19782.669887054537,2021-06-20 23:09:00,458.8602,2021-06-20 23:00:00
1896,,,,,6739.554,-87.717674,41.815723,6434.568958960616,2021-06-20 23:10:00,426.00812,2021-06-20 23:00:00
1897,,,,,7274.656,-87.70265,41.71969,10429.02461367181,2021-06-20 23:11:00,395.0875,2021-06-20 23:00:00
1898,,,,,7809.757,-87.68767,41.623646,24322.940307594938,2021-06-20 23:12:00,366.0095,2021-06-20 23:00:00
1899,-28.0,,45.99592,260.0,8442.96,-87.67,41.51,41195.57608069346,2021-06-20 23:13:11,333.86496,2021-06-20 23:00:00
1900,,,,,8591.296,-87.64331,41.38604,59821.796107379334,2021-06-20 23:14:11,326.67557,2021-06-20 23:00:00
8488,27.550018,21.553833,7.9697437,228.0,329.0,-87.755,41.78,556.2917356987507,2021-06-20 23:13:00,974.6074,2021-06-20 23:00:00
8489,23.350006,8.503662,25.075537,212.0,883.0,-87.767,41.747,5275.752315355735,2021-06-20 23:14:00,911.8187,2021-06-20 23:00:00
8490,22.050018,6.87796,27.991295,212.0,1089.0,-87.765,41.735,6919.635639274238,2021-06-20 23:14:00,889.3247,2021-06-20 23:00:00
8491,25.550018,21.223206,8.941664,216.0,504.0,-87.763,41.775,1628.232445353223,2021-06-20 23:14:00,954.4066,2021-06-20 23:00:00
8492,23.550018,20.580536,13.995647,220.0,660.0,-87.768,41.767,2789.3238659471663,2021-06-20 23:14:00,936.6863,2021-06-20 23:00:00
8493,23.350006,18.916534,18.077713,219.0,723.00006,-87.768,41.762,3351.320647951324,2021-06-20 23:14:00,929.606,2021-06-20 23:00:00
9087,3.0500183,,51.90053,228.0,3520.0,-86.773,41.078,150638.4744927338,2021-06-20 23:11:00,656.1278,2021-06-20 23:00:00
9088,3.5500183,,54.03875,234.0,3450.0,-86.845,41.155,137005.63775112916,2021-06-20 23:12:00,662.0643,2021-06-20 23:00:00
9089,4.5500183,,50.92861,247.0,3267.0,-86.908,41.225,124864.21871228486,2021-06-20 23:13:00,677.79,2021-06-20 23:00:00
11178,3.5500183,-3.9495544,43.930786,261.0,3698.0,-88.612,41.35,115329.40996041465,2021-06-20 23:00:00,641.2258,2021-06-20 23:00:00
11179,4.350006,0.45758057,46.06901,256.0,3452.0,-88.53,41.438,100657.73650148125,2021-06-20 23:01:00,661.894,2021-06-20 23:00:00
11180,4.0500183,0.40359497,42.958866,258.0,3454.0002,-88.433,41.52,85329.23706408375,2021-06-20 23:02:00,661.724,2021-06-20 23:00:00
11181,4.350006,1.4565735,42.958866,258.0,3446.9998,-88.338,41.6,70742.10359378927,2021-06-20 23:03:00,662.3198,2021-06-20 23:00:00
11182,4.0500183,3.01828,43.930786,256.0,3449.0,-88.253,41.67,58347.79348429989,2021-06-20 23:04:00,662.1495,2021-06-20 23:00:00
11183,6.350006,4.8571777,41.986946,252.0,3073.0002,-88.17,41.74,47133.48012189139,2021-06-20 23:05:00,694.7898,2021-06-20 23:00:00
11184,7.350006,7.350006,43.930786,253.0,2839.0,-88.088,41.808,37857.23897699294,2021-06-20 23:06:00,715.75244,2021-06-20 23:00:00
11185,10.050018,8.569885,42.958866,250.0,2419.0,-88.0,41.872,31038.62489893786,2021-06-20 23:07:00,754.6612,2021-06-20 23:00:00
11186,10.75,9.6284485,41.986946,245.0,2232.0,-87.883,41.883,21354.3451815581,2021-06-20 23:08:00,772.527,2021-06-20 23:00:00
